"filename", "language", "JavaScript", "Less", "SCSS", "CSS", "Ruby", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\addDepartment.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 16, 82
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\addItem.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 4, 64, 298
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\addLab.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 16, 135
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\addSubCategory.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 22, 101
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\approveDelUser.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 20, 154
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\dashboard.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 12, 95
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\deleteDepartment.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 36, 139
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\deleteLab.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 3, 33, 167
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\issue.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 3, 47, 278
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\itemReport.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 1, 22, 133
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\purchaseItem.js", "JavaScript", 315, 0, 0, 0, 0, 0, 0, 5, 62, 382
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\purchaseReport.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 1, 26, 145
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\register.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 1, 36, 211
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\returnItem.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 17, 123
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\returnReport.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 1, 27, 136
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\scripts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\updateDepartment.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 40, 152
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\updateIssue.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 16, 146
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\updateItem.js", "JavaScript", 229, 0, 0, 0, 0, 0, 0, 2, 101, 332
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\updateLab.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 47, 227
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\updatePurchase.js", "JavaScript", 284, 0, 0, 0, 0, 0, 0, 4, 124, 412
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\userProfile.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 10, 140
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\assets\img\error-404-monochrome.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\assets\login.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\assets\purchase.html", "HTML", 0, 0, 0, 0, 0, 220, 0, 2, 26, 248
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\css\myStyle.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 3, 17, 70
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\css\styles.css", "CSS", 0, 0, 0, 8749, 0, 0, 0, 11, 1454, 10214
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\index.html", "HTML", 0, 0, 0, 0, 0, 110, 0, 5, 54, 169
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\js\script.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 1, 37, 135
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\js\scripts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\js\viewIssue.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 1, 31, 156
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\User\js\viewReturn.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\css\login.css", "CSS", 0, 0, 0, 341, 0, 0, 0, 1, 60, 402
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\css\templatemo-style.css", "CSS", 0, 0, 0, 469, 0, 0, 0, 27, 105, 601
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\fontawesome-5.5\css\all.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\fontawesome-5.5\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 0, 0, 1184, 0, 1, 1185
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\fontawesome-5.5\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 0, 0, 467, 0, 1, 468
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\fontawesome-5.5\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 0, 0, 2618, 0, 1, 2619
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\img\log.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\img\register.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\eventHandler.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\formValidate.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 13, 77
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\jquery-1.9.1.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 0, 5
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\jquery.singlePageNav.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\jquery.table2excel.js", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 36, 44, 268
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\login.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\js\signup.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 7, 12, 100
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\magnific-popup\jquery.magnific-popup.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\magnific-popup\magnific-popup.css", "CSS", 0, 0, 0, 310, 0, 0, 0, 6, 36, 352
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\config.rb", "Ruby", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\fonts\slick.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick-theme.css", "CSS", 0, 0, 0, 170, 0, 0, 0, 4, 31, 205
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick-theme.less", "Less", 0, 152, 0, 0, 0, 0, 0, 5, 12, 169
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick-theme.scss", "SCSS", 0, 0, 170, 0, 0, 0, 0, 9, 16, 195
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick.css", "CSS", 0, 0, 0, 104, 0, 0, 0, 1, 15, 120
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick.js", "JavaScript", 2119, 0, 0, 0, 0, 0, 0, 47, 846, 3012
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick.less", "Less", 0, 87, 0, 0, 0, 0, 0, 1, 13, 101
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\slick\slick.scss", "SCSS", 0, 0, 87, 0, 0, 0, 0, 1, 13, 101
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\router\router.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3, 6
"Total", "-", 12281, 239, 257, 36592, 8, 1894, 4288, 436, 10053, 66048
